name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
Arsène Duval,FRA,male,,64.0,,,,
Hakjin Lee,KOR,male,,56.0,,,,
Leo Avezou,FRA,male,,50.0,,,,
Felix Mader,AUT,male,,48.0,,,,
Dimitri Flick,SUI,male,,41.0,,26.0,11.0,22.93
Nao Monchois,FRA,male,,39.0,,26.0,13.0,22.93
Davide Marco Colombo,ITA,male,,37.0,,24.0,1.0,21.29
Radin Foroughian,IRI,male,,37.0,,,,
Lovro Črep,SLO,male,,34.5,,24.0,2.0,21.42
Auswin Aueareechit,THA,male,,34.0,,23.0,,23.0
Mikel Asier Linacisoro Molina,ESP,male,,32.0,,,,
Victor Baudrand,CAN,male,,30.0,,24.0,2.0,21.64
Milan Preskar,SLO,male,,28.0,,23.0,,20.12
Guoqing Ni,CHN,male,,25.0,,,,
Sanghyeon Han,KOR,male,,15.0,,,,
Rhys Conlon,GBR,male,,15.0,,23.0,,19.95
Johannes Hofherr,AUT,male,,14.7,,25.0,7.0,22.08
Gorazd Jurekovic,SLO,male,,12.5,,,,
Elliot Eriksson,SWE,male,,11.0,,20.0,,17.5
Maël Grenier,FRA,male,,11.0,,24.0,1.0,21.67
Seyedmohammadzaniar Ebrahimi,IRI,male,,10.0,,,,
Poksakon Chotikkrai,THA,male,,9.0,,,,
Muhammed Oğuz Kağanoğlu,TUR,male,,9.0,,,,
Joseph Walmsley,GBR,male,,8.0,,,,
Mel Janse Van Rensburg,RSA,male,,8.0,396.0,25.0,3.0,22.0
Alexey Panfilov,KAZ,male,,8.0,,,,
Luka Jerman,SLO,male,,7.5,,,,
Nidhal Daqnah,KSA,male,,7.0,,,,
Hugo Parmentier,FRA,male,,7.0,,27.0,22.0,24.17
Declan Osgood,USA,male,,6.7,,,,
Stanley Au,GUM,male,,6.0,,,,
Allen Lactaoen,GUM,male,,6.0,,,,
Mohammad Garakani,IRI,male,,6.0,,,,
Ege Duman,TUR,male,,6.0,,22.0,,19.0
Samo Golob,SLO,male,,5.0,,,,
Mark Brand,NED,male,,4.0,,25.0,1.0,21.02
Michail Volyrakis,GRE,male,,3.0,,,,
Eliáš Kysela,SVK,male,,3.0,,25.0,8.0,22.83
Illia Bakhmet-Smolenskyi,UKR,male,,3.0,,25.0,17.0,22.46
Gergő Vályi,HUN,male,,2.0,,,,
Kindar Mcnamee,CAN,male,,2.0,,,,
Mykyta Myronenko,UKR,male,,1.0,,,,
Marco Bauhofer,AUT,male,,1.0,,,,
Annie Sanders,USA,female,3365.0,2590.0,4565.0,,,
Mao Nakamura,JPN,female,2692.0,241.0,1956.0,,,
Natalia Grossman,USA,female,2610.0,,3423.0,,,
Oceania Mackenzie,AUS,female,2470.0,1272.0,3828.0,,,
Erin Mcneice,GBR,female,2407.5,1730.0,4128.0,,,
Naïlé Meignan,FRA,female,2175.0,,,,,
Oriane Bertone,FRA,female,2065.0,48.0,3151.0,24.0,2.0,21.31
Miho Nonaka,JPN,female,2004.0,708.0,2954.0,,,
Anon Matsufuji,JPN,female,1898.8,,,,,
Melody Sekikawa,JPN,female,1798.0,,,,,
Chaehyun Seo,KOR,female,1793.0,2356.0,3851.0,,,
Zélia Avezou,FRA,female,1777.0,1781.0,3363.0,,,
Brooke Raboutou,USA,female,1545.0,1000.0,3558.0,23.0,,20.33
Jennifer Eucharia Buckley,SLO,female,1535.0,560.0,2095.0,,,
Agathe Calliet,FRA,female,1425.8,,,20.0,,18.73
Katja Debevec,SLO,female,1415.8,27.0,867.0,,,
Anna Maria Apel,GER,female,1184.8,,,,,
Futaba Ito,JPN,female,1136.0,603.0,1291.0,,,
Jessica Pilz,AUT,female,1045.0,3220.0,5140.0,26.0,7.0,22.12
Janja Garnbret,SLO,female,1000.0,2000.0,5500.0,,,
Lucia Dörffel,GER,female,926.0,384.0,998.0,23.0,,21.17
Ayala Kerem,ISR,female,877.5,151.0,988.5,,,
Sofya Yokoyama,SUI,female,861.8,,,,,
Zhilu Luo,CHN,female,844.5,948.0,2134.5,,,
Fanny Gibert,FRA,female,751.5,95.0,731.5,21.0,,18.89
Alma Bestvater,GER,female,712.2,,,,,
Kyra Condie,USA,female,710.2,58.0,642.8,,,
Lucija Tarkus,SLO,female,644.0,770.0,975.0,24.0,1.0,21.08
Ai Mori,JPN,female,636.7,2610.0,4771.7,19.0,,19.0
Afra Hönig,GER,female,629.5,,,18.0,,15.42
Ievgeniia Kazbekova,UKR,female,618.0,686.0,1666.0,,,
Yuetong Zhang,CHN,female,574.3,870.0,2133.8,,,
Camilla Moroni,ITA,female,569.5,630.0,1517.5,22.0,,19.22
