name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
arsène DUVAL,FRA,male,0.0,64.0,0.0,0,0,0.0
hakjin LEE,KOR,male,0.0,56.0,0.0,0,0,0.0
leo AVEZOU,FRA,male,0.0,50.0,0.0,0,0,0.0
felix MADER,AUT,male,0.0,48.0,0.0,0,0,0.0
hyunseung NOH,KOR,male,0.0,42.0,0.0,0,0,0.0
dimitri FLICK,SUI,male,0.0,41.0,0.0,9a+,11,22.93
nao MONCHOIS,FRA,male,0.0,39.0,0.0,9a+,12,22.93
radin FOROUGHIAN,IRI,male,0.0,37.0,0.0,0,0,0.0
davide marco COLOMBO,ITA,male,0.0,37.0,0.0,8c+,1,21.29
darius RÂPĂ,ROU,male,0.0,35.0,0.0,0,0,0.0
lovro CREP,SLO,male,0.0,34.5,0.0,8c+,2,21.42
declan OSGOOD,USA,male,0.0,33.7,0.0,0,0,0.0
guoqing NI,CHN,male,0.0,32.0,0.0,0,0,0.0
mikel asier LINACISORO MOLINA,ESP,male,0.0,32.0,0.0,0,0,0.0
milan PRESKAR,SLO,male,0.0,28.0,0.0,8c,0,20.12
rhys CONLON,GBR,male,0.0,15.0,0.0,8c,0,19.95
sanghyeon HAN,KOR,male,0.0,15.0,0.0,0,0,0.0
johannes HOFHERR,AUT,male,0.0,14.7,0.0,9a,7,22.08
gorazd JUREKOVIC,SLO,male,0.0,12.5,0.0,0,0,0.0
chi-fung AU,HKG,male,0.0,12.0,0.0,0,0,0.0
maël GRENIER,FRA,male,0.0,11.0,0.0,8c+,1,21.67
elliot ERIKSSON,SWE,male,0.0,11.0,0.0,8a+,0,17.5
seyedmohammadzaniar EBRAHIMI,IRI,male,0.0,10.0,0.0,0,0,0.0
poksakon CHOTIKKRAI,THA,male,0.0,9.0,0.0,0,0,0.0
muhammed oğuz KAĞANOĞLU,TUR,male,0.0,9.0,0.0,0,0,0.0
kindar MCNAMEE,CAN,male,0.0,9.0,0.0,0,0,0.0
joseph WALMSLEY,GBR,male,0.0,8.0,0.0,0,0,0.0
mel JANSE VAN RENSBURG,RSA,male,0.0,8.0,396.0,9a,3,22.0
